creationDate,startDate,endDate
2019-09-12 06:40:02 -0500,2019-09-11 23:10:00 -0500,2019-09-12 06:26:24 -0500
2019-09-12 06:40:02 -0500,2019-09-12 06:26:28 -0500,2019-09-12 06:40:01 -0500
2019-09-13 06:40:14 -0500,2019-09-12 23:22:49 -0500,2019-09-13 06:33:56 -0500
2019-09-13 06:40:14 -0500,2019-09-13 06:34:52 -0500,2019-09-13 06:40:08 -0500
2019-09-16 07:10:12 -0500,2019-09-15 23:10:00 -0500,2019-09-16 07:10:11 -0500
2019-09-17 06:40:02 -0500,2019-09-16 23:10:00 -0500,2019-09-17 06:35:48 -0500
2019-09-17 06:40:02 -0500,2019-09-17 06:39:08 -0500,2019-09-17 06:39:24 -0500
2019-09-18 06:20:38 -0500,2019-09-17 23:33:48 -0500,2019-09-18 06:07:20 -0500
2019-09-18 06:20:43 -0500,2019-09-17 23:33:48 -0500,2019-09-18 06:07:20 -0500
2019-09-18 06:20:38 -0500,2019-09-18 06:07:52 -0500,2019-09-18 06:17:28 -0500
2019-09-18 06:20:43 -0500,2019-09-18 06:07:52 -0500,2019-09-18 06:17:28 -0500
2019-09-18 06:20:38 -0500,2019-09-18 06:17:32 -0500,2019-09-18 06:17:36 -0500
2019-09-18 06:20:43 -0500,2019-09-18 06:17:32 -0500,2019-09-18 06:17:36 -0500
2019-09-18 06:20:38 -0500,2019-09-18 06:18:16 -0500,2019-09-18 06:19:16 -0500
2019-09-18 06:20:43 -0500,2019-09-18 06:18:16 -0500,2019-09-18 06:19:16 -0500
2019-09-19 06:36:13 -0500,2019-09-18 23:56:28 -0500,2019-09-19 06:36:08 -0500
2019-09-20 06:36:29 -0500,2019-09-19 23:10:00 -0500,2019-09-20 06:30:24 -0500
2019-09-20 06:36:29 -0500,2019-09-20 06:30:24 -0500,2019-09-20 06:30:28 -0500
2019-09-20 06:36:29 -0500,2019-09-20 06:31:04 -0500,2019-09-20 06:36:29 -0500
2019-09-23 06:30:21 -0500,2019-09-22 23:10:00 -0500,2019-09-23 06:30:21 -0500
